SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,marginalised,161.26761746240663,0.011202798916228544,4.571832180023193
EDTRPAS1-41,marginalised,166.00676487609283,0.011203887126774194,4.572074890136719
EDTRPAS1-41,marginalised,170.88518090775736,0.011204505065794115,4.5723652839660645
EDTRPAS1-41,marginalised,175.9069582234983,0.011204617407863882,4.57270622253418
EDTRPAS1-41,marginalised,181.0763097599816,0.011204207468491188,4.573108673095703
EDTRPAS1-41,marginalised,186.39757225881465,0.011203247142158243,4.57357931137085
EDTRPAS1-41,marginalised,191.8752099047833,0.01120173400559731,4.574123382568359
EDTRPAS1-41,marginalised,197.51381807100566,0.011199745026603886,4.574732303619385
EDTRPAS1-41,marginalised,203.31812717414408,0.011197411174450929,4.575385093688965
EDTRPAS1-41,marginalised,209.2930066429096,0.01119486622785571,4.576050758361816
EDTRPAS1-41,marginalised,215.44346900318828,0.01119235648016834,4.576688766479492
EDTRPAS1-41,marginalised,221.77467408321655,0.011190079549290237,4.577255725860596
EDTRPAS1-41,marginalised,228.29193334233335,0.011188235711727125,4.577709197998047
EDTRPAS1-41,marginalised,235.0007143269408,0.011187004717676132,4.5780205726623535
EDTRPAS1-41,marginalised,241.90664525741136,0.011186436548593753,4.578176498413086
EDTRPAS1-41,marginalised,249.01551974978992,0.011186497419731434,4.578182697296143
EDTRPAS1-41,marginalised,256.3333016762516,0.011187103622233328,4.578067302703857
EDTRPAS1-41,marginalised,263.8661301683935,0.011188004620539,4.577878475189209
EDTRPAS1-41,marginalised,271.6203247675568,0.011188957992400312,4.5776777267456055
EDTRPAS1-41,marginalised,279.60239072650137,0.011189611905391392,4.577539443969727
EDTRPAS1-41,marginalised,287.81902446687934,0.011189657129667947,4.5775346755981445
EDTRPAS1-41,marginalised,296.2771191970868,0.011188750822687393,4.577734470367432
EDTRPAS1-41,marginalised,304.9837706952066,0.011186661674588332,4.578197479248047
EDTRPAS1-41,marginalised,313.94628326189337,0.01118318976003784,4.5789666175842285
EDTRPAS1-41,marginalised,323.1721758481953,0.01117823814890312,4.580060005187988
EDTRPAS1-41,marginalised,332.6691883634533,0.011171867766904497,4.581472873687744
EDTRPAS1-41,marginalised,342.4452881685692,0.011164166091204419,4.583170413970947
EDTRPAS1-41,marginalised,352.50867676009113,0.011155479592213286,4.585092067718506
EDTRPAS1-41,marginalised,362.86779665072237,0.011146170929895415,4.587155342102051
EDTRPAS1-41,marginalised,373.5313384520277,0.011136672551305984,4.589261531829834
