SampleID,Network,AgeCat,LPM,n_active,n_free,tau1,f1,tau2,mean_age_mixture,mean_age_sigma_delta,mean_age_p16,mean_age_p50,mean_age_p84,mean_age_sigma_mc,mean_age_fixed_contributors,mean_age_sigma_alt,mean_age_sigma,mean_age_sigma_source,F_lt10yr,F_lt10yr_delta_sigma,F_lt10yr_p16,F_lt10yr_p50,F_lt10yr_p84,F_lt10yr_width,F_lt10yr_source,F_lt10yr_n,F_lt25yr,F_lt25yr_delta_sigma,F_lt25yr_p16,F_lt25yr_p50,F_lt25yr_p84,F_lt25yr_width,F_lt25yr_source,F_lt25yr_n,F_lt40yr,F_lt40yr_delta_sigma,F_lt40yr_p16,F_lt40yr_p50,F_lt40yr_p84,F_lt40yr_width,F_lt40yr_source,F_lt40yr_n,mc_draws_used,Aq_class,Well_class,LPM_MeanAgeFinal_yrs
EDTRPAS1-41,EDTRPAS1,Mixed,BMM-DM-DM,4,2,29.2111,0.8537,200.0,54.19751606999999,28.46641568544553,50.290479033996945,56.79830797899217,68.20982041421478,12.232490579741771,tau2,17.414917316445987,28.46641568544553,delta,1.204644790662884e-15,8.997808845171341e-15,6.904410748498192e-17,1.7588286000573692e-15,8.70770099528091e-14,8.700796584532413e-14,mc,500,0.12900011827125002,0.16350301764709416,0.07407840509956268,0.13652770909642953,0.2381624360757845,0.16408403097622182,mc,500,0.8447608100248282,0.16507051508206277,0.7563445262402037,0.8278427915598816,0.8671572775368228,0.11081275129661916,mc,500,True,confined,PSW,46
EDTRPAS1-35,EDTRPAS1,Mixed,BMM-DM-DM,4,2,27.9778,0.8871,1000.0,137.71910638,176.17407800734924,118.07614863125055,153.64987145759858,218.51693101742512,58.78539834595019,tau2,1382.4409884104657,1382.4409884104657,alt,1.9365466658270337e-14,1.6457398956886518e-13,4.5693997109764975e-16,2.210971176462272e-14,7.244764864808179e-13,7.240195465097203e-13,mc,500,0.20773292360456788,0.262191094691539,0.10716312661777487,0.20982383995747503,0.339223061250476,0.23205993463270114,mc,500,0.8831889229348948,0.17927511724708525,0.791631127926818,0.8661230112401485,0.9035576895884073,0.11192656166158932,mc,500,True,confined,PSW,209
EDTRPAS1-29,EDTRPAS1,Mixed,BMM-DM-DM,4,2,42.028,0.1365,11500.0,9935.986822,2839.999973160298,8760.808247167646,9887.084443365675,10501.609779052018,995.734584542772,tau2,2072.149341876236,2839.999973160298,delta,3.034047193684785e-29,1.066377838592362e-27,8.133244161771844e-37,3.701763907631007e-29,6.684527764622723e-09,6.684527764622723e-09,mc,371,1.6954287063132787e-05,0.00019252552577165723,5.587547424510851e-08,1.7546842202723263e-05,0.17460932135581972,0.17460926548034547,mc,371,0.05234428403958514,0.2164206036787326,0.006154014842931166,0.051922586935192784,0.22632967872252538,0.22017566387959422,mc,371,True,confined,PSW,10300
EDTRPAS1-46,EDTRPAS1,Mixed,BMM-DM-DM,3,2,35.188,0.2213,23500.0,18307.237104399996,123.68429156672474,18034.3426874334,18357.70303176565,18721.48380230255,376.01263247195004,tau2,19374.399637028062,19374.399637028062,alt,3.6157154119812734e-22,2.710927679645033e-22,1.899165977472609e-23,3.363030379203419e-22,6.070540987676347e-21,6.051549327901621e-21,mc,500,0.0020861566305052717,0.00036751633983391727,0.0009805952574884333,0.0020458907878927674,0.00401166990500628,0.0030310746475178466,mc,500,0.18597504430560888,0.00522170247950811,0.1589746901857344,0.1840712060997824,0.20590680319841245,0.04693211301267805,mc,500,True,confined,PSW,16900
EDTRPAS1-30,EDTRPAS1,Mixed,BMM-DM-DM,4,2,30.1719,0.7412,3000.0,798.7634122800001,597.159020177311,745.8509682433018,833.2469169828432,958.0721813410904,132.41671332561043,tau2,4553.861332459157,4553.861332459157,alt,1.2388219320304773e-16,1.5986747173192415e-15,6.61806976212183e-18,2.1508101811388231e-16,7.549484957023052e-15,7.54286688726093e-15,mc,500,0.07827268219654085,0.18449967304198248,0.042189219028182665,0.08605945935391057,0.15845722453982353,0.11626800551164086,mc,500,0.7266644434049669,0.2030091394581257,0.6616720710664642,0.7176515991925001,0.7497203807100576,0.08804830964359345,mc,500,True,confined,PSW,1770
EDTRPAS1-34,EDTRPAS1,Mixed,BMM-DM-DM,4,2,30.3118,0.6653,3000.0,1024.26644054,58.47095887024415,895.1388095854606,1061.422336449654,1291.3793088589273,206.90401526096664,tau2,504.7874382741881,504.7874382741881,alt,8.116669075090725e-17,6.338845957303531e-17,3.3984910203662237e-18,9.418386808797452e-17,2.2549769571023896e-15,2.2515784660820234e-15,mc,500,0.06633757116721561,0.009479473487968935,0.03385601254170813,0.0675986853276904,0.11896694040883089,0.08511092786712277,mc,500,0.6511678653368383,0.01911266065365626,0.5528012381718134,0.6371432101567265,0.6974370833042655,0.1446358451324521,mc,500,True,confined,PSW,672
EDTRPAS1-43,EDTRPAS1,Mixed,BMM-DM-DM,4,2,32.1157,0.7661,1000.0,258.50383777,111.83455037047057,230.364827450198,273.5550964561637,348.4138409567262,100.72345252404233,tau2,1737.8049067756124,1737.8049067756124,alt,1.5358110268134546e-18,7.056637721962245e-18,1.0143143770061087e-19,2.2037544994615913e-18,2.978929372889446e-16,2.97791505851244e-16,mc,494,0.03361853344947532,0.032789619844765604,0.018315811549751954,0.03648773179999508,0.0879902460153983,0.06967443446564635,mc,494,0.7266993014306324,0.11942589340673698,0.624821226048185,0.7082176178117794,0.7616958852650819,0.1368746592168969,mc,494,True,confined,PSW,141
EDTRPAS1-04/EDTRETN1-01,EDTRPAS1/EDTRETN1,Modern,BMM-DM-DM,4,1,35.0,0.6149,5000.0,1947.0215,1444.3792138273616,1783.2059180378915,1957.683111578226,2235.7547543525693,254.34162672706978,tau1;tau2,518.6509304060386,1444.3792138273616,delta,1.4746897884749727e-21,6.976830257129945e-22,1.3352220582610583e-21,1.4695398767664244e-21,1.5538181432644371e-21,2.1859608500337876e-22,mc,500,0.0062948130775226565,0.0029781071711125276,0.005699485640590417,0.006272830331168535,0.0066325778104341605,0.0009330921698437432,mc,500,0.5202161806397133,0.2461168455698793,0.4710171080609288,0.5183994816833699,0.5481297464829055,0.07711263842197669,mc,500,True,confined,PSW,1100
EDTRPAS1-05/EDTRETN1-03,EDTRPAS1/EDTRETN1,Mixed,BMM-DM-DM,3,2,28.2125,0.6525,14500.0,5057.15865625,826.5078134564337,4811.905377570109,5278.245037904295,6035.598682327253,960.4700640659329,tau2,2332.3411644277653,2332.3411644277653,alt,8.889498013440111e-15,3.192051708469506e-14,1.167202050416484e-18,8.219794202430928e-15,2.5650772522329928e-11,2.5650771355127878e-11,mc,497,0.13756226241038214,0.0728457988042475,0.023747249269933754,0.13443450977796398,0.36607745845700274,0.34233020918706897,mc,497,0.6492091339974013,0.05502449446923192,0.5539605035641909,0.6320142860302074,0.667939524875064,0.11397902131087312,mc,497,True,confined,PSW,3540
EDTRPAS1-44,EDTRPAS1,Mixed,BMM-DM-DM,4,2,18.6068,0.6159,200.0,88.27992812,4.819522129012202,69.57091816170993,85.76909088833281,112.4985752714338,24.201674399384107,tau2,9.768601150860283,24.201674399384107,mc,3.286842212945594e-06,5.517138423573954e-06,2.0065407934593227e-10,2.085298786833238e-06,0.3435071845180112,0.3435071843173571,mc,492,0.6067540574441959,0.023280556989699205,0.3606293189525604,0.5260157883165131,0.6307446453526656,0.2701153264001052,mc,492,0.6158999943972632,0.028655551260715676,0.4606265800946787,0.6321760690687314,0.7326026962151599,0.2719761161204812,mc,492,True,confined,PSW,65
