SampleID,omitted_tracer,Aq_class,LPM,n_active_full,tau1_full,tau1_reduced,delta_tau1_rel,w_full_cond,w_reduced_cond,information_ratio_cond,censored_cond,w_full_true,w_reduced_true,information_ratio_true,censored_true
SCTXLUSRC1-25,SF6,unconfined,DM,4,3.0089402198791504,2.616420269012451,0.1304512293974601,1.5586288004647937,1.7406873589855707,1.1168068743927264,True,1.5994171445723622,1.850371084130285,1.1569033697116087,True
SCTXLUSRC1-25,14C,unconfined,DM,4,3.0089402198791504,3.00582242012024,0.0010361786978394,1.5586288004647937,1.5597049550153317,1.0006904495478444,True,1.5994171445723622,1.6016303071752174,1.001383730698627,True
EDTRPAS1-36,3H,confined,DM,4,29.56825256347656,29.48265266418457,0.0028949935106319,0.4463776296470313,0.4390725355595357,0.9836347218088144,False,0.491092632804066,0.5182487987447535,1.0552974411072507,False
EDTRPAS1-36,3He(trit),confined,DM,4,29.56825256347656,28.93512916564941,0.0214122696790407,0.4463776296470313,0.732191145187245,1.640295338649067,False,0.491092632804066,2.3031958543462685,4.6899417757406825,True
EDTRPAS1-36,SF6,confined,DM,4,29.56825256347656,29.86038398742676,0.0098799015370642,0.4463776296470313,0.8545038526877768,1.9143070708168493,False,0.491092632804066,0.8944810146000238,1.8214099639260928,False
EDTRPAS1-36,14C,confined,DM,4,29.56825256347656,29.687042236328125,0.0040174735587281,0.4463776296470313,0.4444262478500606,0.9956284059339762,False,0.491092632804066,0.4887437550351025,0.995217037251095,False
EDTRPAS1-33,3H,confined,DM,4,31.291465759277344,31.31863212585449,0.0008681717496437,0.4721637060865757,0.4610153920017182,0.9763888796594344,False,0.4400975207332522,0.45919362404383696,1.043390617785732,False
EDTRPAS1-33,3He(trit),confined,DM,4,31.291465759277344,30.84922981262207,0.0141327974233408,0.4721637060865757,0.648946675192565,1.3744103302035129,False,0.4400975207332522,2.267842115298845,5.153044515043765,True
EDTRPAS1-33,SF6,confined,DM,4,31.291465759277344,32.26049041748047,0.0309676978911039,0.4721637060865757,0.9238745335955172,1.956682654100728,False,0.4400975207332522,1.338080520462244,3.040418219654704,False
EDTRPAS1-33,14C,confined,DM,4,31.291465759277344,31.266525268554688,0.0007970381098322,0.4721637060865757,0.473039659671485,1.0018551904214943,False,0.4400975207332522,0.4411850630305706,1.0024711393409043,False
SCTXLUSRC1-01/EDTRETN1-02,3H,unconfined,DM,4,10.279025077819824,6.092684745788574,0.4072701740036196,1.0802547359373416,2.018610556237401,1.868643097857696,True,1.1999615791719402,2.034766797302292,1.6956932893688375,True
