SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,reported,411.7023380295949,0.0001406522885782472,43.63344192504883
EDTRPAS1-41,reported,421.69650342858216,0.0001087371798996126,44.14141082763672
EDTRPAS1-41,reported,431.93327940515445,8.77204606321925e-05,44.56596755981445
EDTRPAS1-41,reported,442.41855538479183,7.37397260556137e-05,44.90959930419922
EDTRPAS1-41,reported,453.15836376008156,6.435795288331971e-05,45.17919921875
EDTRPAS1-41,reported,464.1588833612782,5.807037633314243e-05,45.38319396972656
EDTRPAS1-41,reported,475.4264430111055,5.389174255322134e-05,45.531402587890625
EDTRPAS1-41,reported,486.96752516586315,5.118791535780623e-05,45.63351821899414
EDTRPAS1-41,reported,498.7887696449107,4.952284485290731e-05,45.69920349121094
EDTRPAS1-41,reported,510.8969774506926,5.918156839112112e-06,49.95063781738281
EDTRPAS1-41,reported,523.299114681495,3.5817922143476482e-06,50.96451187133789
EDTRPAS1-41,reported,536.0023165391792,2.029003800924377e-06,52.116180419921875
EDTRPAS1-41,reported,549.0138914342142,1.07452912357775e-06,53.40886688232422
EDTRPAS1-41,reported,562.3413251903493,5.330212301086758e-07,54.840843200683594
EDTRPAS1-41,reported,575.9922853513626,2.486796453820557e-07,56.404754638671875
EDTRPAS1-41,reported,589.9746255923563,1.0976425291318779e-07,58.09070587158203
EDTRPAS1-41,reported,604.2963902381329,4.6128128216180505e-08,59.8212890625
EDTRPAS1-41,reported,618.9658188912607,1.8582214830949323e-08,61.58321762084961
EDTRPAS1-41,reported,633.9913511724842,7.217697497480746e-09,63.42667007446289
EDTRPAS1-41,reported,649.3816315762111,2.715773714339278e-09,65.34300994873047
EDTRPAS1-41,reported,665.1455144438634,9.933621133801632e-10,67.3260726928711
EDTRPAS1-41,reported,681.2920690579614,3.540610585181548e-10,69.37220001220703
EDTRPAS1-41,reported,697.8305848598666,1.2321418916885498e-10,71.4779052734375
EDTRPAS1-41,reported,714.7705767941853,4.194601223642856e-11,73.64002227783203
EDTRPAS1-41,reported,732.1217907829127,1.400089057656983e-11,75.85462951660156
EDTRPAS1-41,reported,749.8942093324558,4.598476360226833e-12,78.11466217041016
EDTRPAS1-41,reported,768.0980572767755,1.4921826782578134e-12,80.41275787353516
EDTRPAS1-41,reported,786.7438076599396,4.806504744593648e-13,82.73951721191406
EDTRPAS1-41,reported,805.8421877614817,1.5449159869186313e-13,85.0007095336914
