SampleID,LPM,free_params,n_active,tau1_reported,tau1_sigma,tau1_shift_pct,chi2_sigma,w_reported,w_sigma,hit_bound,w_sigma_scaled,hit_bound_scaled,dof,dchi2_scaled,cls_reported,cls_sigma,cls_sigma_scaled,n_eval,seconds
SCTXSUS1-23,DM,Mean Age,2,19.2774,19.2791805267334,0.009236342729820135,3.0085553301519666e-10,2.9,1.016889879480005,False,2.859169617292501e-05,False,1,3.0085553301519666e-10,unconstrained,weakly constrained,well constrained,151,15.8
SCTXSUS1-18/EDTRVFPS1-03,DM,"Mean Age, Model Parm 1",4,5.9002,5.8973517417907715,-0.04827392646399113,10.17433624412725,2.1487206785473947,0.07525273812934749,False,0.41863967129029345,False,2,5.087168122063625,unconstrained,well constrained,well constrained,139,21.9
SCTXSUS1-20/EDTRVFPS1-04,DM,"Mean Age, Model Parm 1",4,10.9729,10.973184585571289,0.0025935310746461977,0.3956073133173139,1.648853230569512,0.1326004774309694,False,0.0608910764567558,False,2,0.19780365665865696,unconstrained,well constrained,well constrained,134,21.7
SCTXSUS1-24/EDTRVFPS1-09,DM,"Mean Age, Model Parm 1",4,30.6087,30.60761260986328,-0.0035525524988570525,1.2994490649932224,0.4856905667111275,0.05600664140656607,False,0.045258039934560575,False,2,0.6497245324966112,well constrained,well constrained,well constrained,132,21.4
SCTXSUS1-13/EDTRVFPS1-08,BMM-DM-DM,"Fraction, 2nd Mean Age",4,28.0,28.0,0.0,24.735311732479445,,,False,,False,2,12.367655866239723,unconstrained,unconstrained,unconstrained,0,26.4
SCTXSUS1-25/EDTRVFPS1-06,DM,"Mean Age, Model Parm 1",4,25.2213,25.2214412689209,0.0005601175232801299,3.1288491536210348,0.8619422498624765,0.10543821174651369,False,0.1316116348840294,False,2,1.5644245768105174,weakly constrained,well constrained,well constrained,136,21.3
SCTXSUS1-14/EDTRVFPS1-07,BMM-DM-DM,"Fraction, 2nd Mean Age",4,8.0,8.0,0.0,17.846975629531382,,,False,,False,2,8.923487814765691,unconstrained,unconstrained,unconstrained,0,24.4
SCTXSUS1-12/EDTRVFPS1-10,DM,"Mean Age, Model Parm 1",4,15.6702,15.67020034790039,2.2201400822080784e-06,0.26299595298997175,1.7092715675942594,0.19411488226614967,False,0.07018810207955545,False,2,0.13149797649498587,unconstrained,well constrained,well constrained,134,21.2
SCTXSUS1-10/EDTRVFPS1-15,BMM-DM-DM,"Fraction, 2nd Mean Age",4,14.0,14.0,0.0,4.230383057907178,,,False,,False,2,2.115191528953589,unconstrained,unconstrained,unconstrained,0,24.7
SCTXSUS1-09/EDTRVFPS1-14,BMM-DM-DM,"Fraction, 2nd Mean Age",4,10.0,10.0,0.0,4.6272890204632935,,,False,,False,2,2.3136445102316467,unconstrained,unconstrained,unconstrained,0,24.7
SCTXSUS1-08/EDTRVFPS1-13,DM,Mean Age,4,17.1661,17.16592788696289,-0.0010026333128055377,20.933033097726007,0.776949900574983,0.06580869317986066,False,0.2034383475780487,False,2,10.466516548863003,weakly constrained,well constrained,well constrained,135,21.9
SCTXSUS1-07/EDTRVFPS1-16,DM,"Mean Age, Model Parm 1",4,18.0757,18.075475692749023,-0.0012409325834007714,6.108648611946606,1.0589244782458986,0.09385786592029062,False,0.1657263482920827,False,2,3.054324305973303,weakly constrained,well constrained,well constrained,136,22.0
SCTXSUS1-04/EDTRVFPS1-20,BMM-DM-DM,"Fraction, 2nd Mean Age",3,32.0,32.0,0.0,6.217544823372265,,,False,,False,1,6.217544823372265,unconstrained,unconstrained,unconstrained,0,21.5
SCTXSUS1-26/EDTRVFPS1-21,DM,"Mean Age, Model Parm 1",4,15.2349,15.220547676086426,-0.09420687968791316,9.956898776038013,1.1251526724547152,0.2665673490148042,False,0.42225828967057233,False,2,4.978449388019007,weakly constrained,well constrained,well constrained,144,21.5
SCTXSUS1-06/EDTRVFPS1-22,DM,"Mean Age, Model Parm 1",3,16.0381,16.03233528137207,-0.03594390001265555,0.07355561800051444,2.839851524005644,0.2728369647171349,False,0.08243265976198001,False,1,0.07355561800051444,unconstrained,well constrained,well constrained,137,18.1
SCTXSUS1-11/EDTRVFPS1-24,DM,"Mean Age, Model Parm 1",4,23.555,23.555004119873047,1.749043959736454e-05,3.3068643884525426,1.0168179006315765,0.12066676463000478,False,0.15507952235639072,False,2,1.6534321942262713,weakly constrained,well constrained,well constrained,136,21.3
SCTXSUS1-03,DM,Mean Age,2,26.7913,26.789566040039062,-0.006472100872063582,1.1009934673292714,2.7989350472809744,0.2032995316199959,False,0.2149010127875954,False,1,1.1009934673292714,unconstrained,well constrained,well constrained,138,15.0
SCTXSUS1-05/EDTRVFPS1-23,DM,"Mean Age, Model Parm 1",4,17.7264,17.726598739624023,0.00112115051009639,3.3492288592450854,1.0309258687775589,0.08091496704146257,False,0.10550619373097989,False,2,1.6746144296225427,weakly constrained,well constrained,well constrained,133,21.4
EDTRVFPS1-11,BMM-DM-DM,"Fraction, 2nd Mean Age",3,14.0,14.0,0.0,8.998114865348466,,,False,,False,1,8.998114865348466,unconstrained,unconstrained,unconstrained,0,21.8
EDTRVFPS1-12,BMM-DM-DM,"Fraction, 2nd Mean Age",4,10.0,10.0,0.0,61.97635495496125,,,False,,False,2,30.988177477480626,unconstrained,unconstrained,unconstrained,0,26.0
EDTRVFPS1-18,BMM-DM-DM,"Fraction, 2nd Mean Age",4,12.0,12.0,0.0,55.17846791769518,,,False,,False,2,27.58923395884759,unconstrained,unconstrained,unconstrained,0,25.2
EDTRVFPS1-17,DM,"Mean Age, Model Parm 1",4,19.9248,19.924734115600586,-0.00033066529859892776,9.662388183692228,1.2497634526342154,0.1432182823773474,False,0.31723101167008255,False,2,4.831194091846114,weakly constrained,well constrained,well constrained,139,21.9
EDTRVFPS1-19,DM,"Mean Age, Model Parm 1",4,24.31,24.311668395996094,0.006863002863410239,0.9436898964577872,0.8517707242630417,0.1055053867865358,False,0.07249451526440696,False,2,0.4718449482288936,weakly constrained,well constrained,well constrained,134,21.2
SCTXSUS1-02/EDTRVFPS1-25,DM,Mean Age,2,16.1765,16.182464599609375,0.0368720032724893,6.917558013227786e-10,2.9,5.726400420675067,False,6.682956591244121e-05,False,1,6.917558013227786e-10,unconstrained,unconstrained,well constrained,246,16.8
