SampleID,sigma_model,tau2,posterior_density,chi2_sigma_min_at_tau2
EDTRPAS1-41,marginalised,226.030302714192,0.009220024811688852,4.589625835418701
EDTRPAS1-41,marginalised,231.5172383515274,0.00921916465485473,4.589799404144287
EDTRPAS1-41,marginalised,237.13737056616563,0.009218604500035716,4.589897632598877
EDTRPAS1-41,marginalised,242.8939327345078,0.009218360949809663,4.589911937713623
EDTRPAS1-41,marginalised,248.79023672388362,0.009218420538299408,4.589846134185791
EDTRPAS1-41,marginalised,254.82967479793467,0.009218699311016204,4.589711666107178
EDTRPAS1-41,marginalised,261.0157215682535,0.009219178687363197,4.58953332901001
EDTRPAS1-41,marginalised,267.3519359933992,0.009219723469337842,4.589335918426514
EDTRPAS1-41,marginalised,273.84196342643605,0.00922020304009466,4.589162826538086
EDTRPAS1-41,marginalised,280.48953771218277,0.00922052825420792,4.589048385620117
EDTRPAS1-41,marginalised,287.29848333536654,0.009220541151828635,4.589035987854004
EDTRPAS1-41,marginalised,294.27271762092806,0.009220125701194943,4.589158535003662
EDTRPAS1-41,marginalised,301.4162529877392,0.00921919051766166,4.589453220367432
EDTRPAS1-41,marginalised,308.73319925702634,0.009217640994779149,4.589942932128906
EDTRPAS1-41,marginalised,316.22776601683796,0.009215428669055887,4.590649604797363
EDTRPAS1-41,marginalised,323.90426504390314,0.009212536478415547,4.5915751457214355
EDTRPAS1-41,marginalised,331.7671127842856,0.009208984820022723,4.592718124389648
EDTRPAS1-41,marginalised,339.82083289425617,0.009204815438828649,4.594052791595459
EDTRPAS1-41,marginalised,348.0700588428411,0.009200146630981627,4.595554351806641
EDTRPAS1-41,marginalised,356.51953657755496,0.009195108757432529,4.5971760749816895
EDTRPAS1-41,marginalised,365.17412725483786,0.009189857073511297,4.598865509033203
EDTRPAS1-41,marginalised,374.0388100367785,0.009184564294014999,4.60057258605957
EDTRPAS1-41,marginalised,383.1186849557287,0.009179402114975609,4.602239608764648
EDTRPAS1-41,marginalised,392.4189758484536,0.00917452560223937,4.60381555557251
EDTRPAS1-41,marginalised,401.9450333615123,0.009170061578423302,4.605259895324707
EDTRPAS1-41,marginalised,411.7023380295949,0.009166099185503415,4.606543064117432
EDTRPAS1-41,marginalised,421.69650342858216,0.009162687901286121,4.6076483726501465
EDTRPAS1-41,marginalised,431.93327940515445,0.009159839143155997,4.608572006225586
EDTRPAS1-41,marginalised,442.41855538479183,0.00915753517094304,4.609319686889648
EDTRPAS1-41,marginalised,453.15836376008156,0.009155729913917904,4.609905242919922
EDTRPAS1-41,marginalised,464.1588833612782,0.009154364280986286,4.610348701477051
EDTRPAS1-41,marginalised,475.4264430111055,0.009153372083821165,4.610671043395996
