SampleID,q_baseline,q_perturbed,delta_q,tau2_baseline,tau2_perturbed,tau2_shift_pct,mean_age_baseline,mean_age_perturbed,mean_age_shift_pct,chi2,seconds
EDTRPAS1-05/EDTRETN1-03,0.6,0.7,0.09999999999999998,14500.0,14500.0,0.0,5057.15865625,5585.254436000703,10.442539292257418,1.2498685464379378e-05,21.6
EDTRPAS1-44,0.65,0.55,-0.09999999999999998,200.0,200.0,0.0,88.27992812,86.93643146922454,-1.5218597017310866,0.033677466213703156,24.1
EDTRPAS1-44,0.65,0.75,0.09999999999999998,200.0,200.0,0.0,88.27992812,90.1866159307474,2.1598203027030283,0.019968226552009583,24.4
SCTXSUS1-13/EDTRVFPS1-08,0.65,0.55,-0.09999999999999998,8464.3408,1518.97607421875,-82.05440789649266,3084.4862718399995,566.9589164732606,-81.61901637723774,0.24735209345817566,24.6
SCTXSUS1-13/EDTRVFPS1-08,0.65,0.75,0.09999999999999998,8464.3408,9281.84765625,9.658245994183034,3084.4862718399995,3597.8680534248706,16.64399632028907,0.26454970240592957,25.2
SCTXSUS1-14/EDTRVFPS1-07,0.65,0.55,-0.09999999999999998,285.1258,284.94012451171875,-0.06512054969465286,166.70994566000002,166.50405438342386,-0.1235026955116778,0.210823655128479,24.2
SCTXSUS1-14/EDTRVFPS1-07,0.65,0.75,0.09999999999999998,285.1258,1753.55908203125,515.0124197919829,166.70994566000002,1007.8128743060079,504.5307436914485,0.1772666573524475,24.6
SCTXSUS1-10/EDTRVFPS1-15,0.65,0.55,-0.09999999999999998,80.2475,80.235107421875,-0.015442946041935603,61.96981475,61.93078535194218,-0.06298130503580485,0.06299953162670135,24.4
SCTXSUS1-10/EDTRVFPS1-15,0.65,0.75,0.09999999999999998,80.2475,80.264404296875,0.02106520062930026,61.96981475,62.027578587818425,0.09321286186098779,0.06999768316745758,24.7
SCTXSUS1-09/EDTRVFPS1-14,0.75,0.65,-0.09999999999999998,285.219,284.8843994140625,-0.11731356814850838,143.8940435,143.56786563948117,-0.22667919573671558,0.06708119809627533,24.2
SCTXSUS1-09/EDTRVFPS1-14,0.75,0.85,0.09999999999999998,285.219,2193.250732421875,668.9707671725499,143.8940435,1072.6069970533717,645.4144528598029,0.046101510524749756,24.9
SCTXSUS1-04/EDTRVFPS1-20,0.65,0.55,-0.09999999999999998,13049.916,9266.630859375,-28.990877340704717,10105.2634008,7177.604482979048,-28.97162401119776,0.06217546388506889,20.8
SCTXSUS1-04/EDTRVFPS1-20,0.65,0.75,0.09999999999999998,13049.916,17242.439453125,32.126823292387485,10105.2634008,13349.162368568243,32.101082763576784,0.0621754489839077,20.6
EDTRVFPS1-11,0.65,0.55,-0.09999999999999998,775.1237,284.86578369140625,-63.24899062028341,458.26790368999997,171.9094252511095,-62.48713386495438,0.10380853712558746,20.5
EDTRVFPS1-11,0.65,0.75,0.09999999999999998,775.1237,3262.26513671875,320.87026067178056,458.26790368999997,1909.9367589650647,316.77297135281395,0.08998116105794907,20.6
