decimal_year,H3_31to29_100to95,H3_31to29_105to100,H3_33to31_100to95,H3_33to31_105to100,H3_35to33_100to95,SF6_NH_pptv,C14_NHZone2_pmC
-41450,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.82263514163412
-41470,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.74658297370556
-41490,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.67052612259803
-41510,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.61116808723304
-41530,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.5851817783416
-41550,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.54266164862128
-41570,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.51655372894407
-41590,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.50717375588482
-41610,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.49774210752727
-41630,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.48845523529658
-41650,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.4955208400346
-41670,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.50281597649158
-41690,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.5266272702784
-41710,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.53384128190572
-41730,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.55765461396953
-41750,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.5815902509259
-41770,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.622092089642
-41790,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.64592213930345
-41810,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.70312142296171
-41830,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.727090119043
-41850,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.7675918961829
-41870,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.80810674929984
-41890,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.84863596111688
-41910,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.88918082402384
-41930,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.91318174919112
-41950,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.9537217150581
-41970,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.99428117049374
-41990,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.01817991823214
-42010,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.04222393907116
-42030,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.0662113524274
-42050,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.09014322847742
-42070,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.1140206465129
-42090,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.12137196590936
-42110,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.1285912099222
-42130,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.11912656629295
-42150,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.12645884160182
-42170,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.11703051313222
-42190,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.090929975932
-42210,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.0647517414774
-42230,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.05525168997195
-42250,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,134.01237933214307
-42270,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.98640026041178
-42290,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.92681152372634
-42310,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.86741671546056
-42330,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.80800822333455
-42350,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.73201481525854
-42370,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.63953192205773
-42390,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.53022943730903
-42410,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.4378063666821
-42430,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.34543938452273
-42450,3.075069216650473,5.149660353774105,6.011911064042099,4.307788385646632,4.260237180575218,0,133.236356630433
